Love The Way You Lie,Eminem,detroit hip hop
Rise,Katy Perry,dance pop
Wherever I Go,OneRepublic,dance pop
Body Say,Demi Lovato,dance pop
Don't Be A Fool,Shawn Mendes,canadian pop
LIKE I WOULD,ZAYN,dance pop
Cheap Thrills,Sia,australian dance
I Got You,Bebe Rexha,dance pop
Run Away With Me,Carly Rae Jepsen,canadian pop
Cruel (feat. ZAYN),Snakehips,dance pop
Send My Love (To Your New Lover),Adele,british soul
WTF (Where They From),Missy Elliott,dance pop
Desire,Years & Years,dance pop
When We Were Young,Adele,british soul
I Know What You Did Last Summer,Shawn Mendes,canadian pop
Change,Christina Aguilera,dance pop
Make Me... (feat. G-Eazy),Britney Spears,dance pop
Keeping Your Head Up,Birdy,neo mellow
True Colors,Zedd,complextro
Make Me Like You,Gwen Stefani,dance pop
Champagne Problems,Nick Jonas,dance pop
Blown,DNCE,dance pop
Start,John Legend,neo mellow
Pep Rally,Missy Elliott,dance pop
Higher,Carly Rae Jepsen,canadian pop
Invitation,Britney Spears,dance pop
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop
Beautiful Birds (feat. Birdy),Passenger,folk-pop
Little Lies,Hilary Duff,dance pop
Do You Wanna Come Over?,Britney Spears,dance pop
BURNITUP!,Janet Jackson,dance pop
Picky - Remix,Joey Montana,latin
Behind Your Back,Nelly Furtado,canadian latin
Million Years Ago,Adele,british soul
Shape of You,Ed Sheeran,pop
Closer,The Chainsmokers,electropop
Starboy,The Weeknd,canadian contemporary r&b
Treat You Better,Shawn Mendes,canadian pop
That's What I Like,Bruno Mars,pop
Let Me Love You,DJ Snake,electronic trap
I Feel It Coming,The Weeknd,canadian contemporary r&b
Mercy,Shawn Mendes,canadian pop
Side To Side,Ariana Grande,dance pop
Stay,Zedd,complextro
It Ain't Me (with Selena Gomez),Kygo,edm
Malibu,Miley Cyrus,dance pop
Something Just Like This,The Chainsmokers,electropop
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop
My Way,Calvin Harris,dance pop
Praying,Kesha,dance pop
Despacito - Remix,Luis Fonsi,latin
The Greatest,Sia,australian dance
There for You,Martin Garrix,big room
Paris,The Chainsmokers,electropop
Crying in the Club,Camila Cabello,dance pop
Mama,Jonas Blue,dance pop
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop
Swish Swish,Katy Perry,dance pop
Chained To The Rhythm,Katy Perry,dance pop
Cold (feat. Future),Maroon 5,pop
Love,Lana Del Rey,art pop
First Time,Kygo,edm
The Cure,Lady Gaga,dance pop
Bodak Yellow,Cardi B,pop
Rich Love (with Seeb),OneRepublic,dance pop
Tired,Alan Walker,electro house
Came Here for Love,Sigala,dance pop
24K Magic,Bruno Mars,pop
Strip That Down (feat. Quavo),Liam Payne,dance pop
Cut To The Feeling,Carly Rae Jepsen,canadian pop
OK - Spotify Version,Robin Schulz,dance pop
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop
Get Low (with Liam Payne),Zedd,complextro
Kissing Strangers,DNCE,dance pop
Slow Hands,Niall Horan,dance pop
Younger Now,Miley Cyrus,dance pop
Body Moves,DNCE,dance pop
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm
Angel,Fifth Harmony,dance pop
Touch (feat. Kid Ink),Little Mix,dance pop
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo
Rich Boy,Galantis,big room
Lust for Life (with The Weeknd),Lana Del Rey,art pop
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop
Influence,Tove Lo,dance pop
Remember I Told You,Nick Jonas,dance pop
Messin' Around,Pitbull,dance pop
Water Under the Bridge,Adele,british soul
Free Me,Sia,australian dance
Kissing Strangers - Remix,DNCE,dance pop
A L I E N S,Coldplay,permanent wave
One Kiss (with Dua Lipa),Calvin Harris,dance pop
Havana (feat. Young Thug),Camila Cabello,dance pop
I Like It,Cardi B,pop
New Rules,Dua Lipa,dance pop
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop
no tears left to cry,Ariana Grande,dance pop
IDGAF,Dua Lipa,dance pop
In My Blood,Shawn Mendes,canadian pop
Wolves,Selena Gomez,dance pop
Dusk Till Dawn - Radio Edit,ZAYN,dance pop
Attention,Charlie Puth,dance pop
Electricity (with Dua Lipa),Silk City,edm
Love On The Brain,Rihanna,barbadian pop
Silence,Marshmello,brostep
Sorry Not Sorry,Demi Lovato,dance pop
Shallow - Radio Edit,Lady Gaga,dance pop
These Days,Rudimental,dance pop
What Lovers Do (feat. SZA),Maroon 5,pop
Finesse - Remix; feat. Cardi B,Bruno Mars,pop
Perfect Duet,Ed Sheeran,pop
Bad At Love,Halsey,dance pop
Him & I (with Halsey),G-Eazy,hip hop
